id,name,email,role,user_id
a2206ff3-7db0-41f0-9dd5-d0da72f491fb,Allison Hill,arnoldmaria@hotmail.com,user,115d1995-6d11-4fb8-934f-95fe4c58d37e
0aefc008-f6e7-4c2e-9d5d-facd7c101a49,Noah Rhodes,janetwilliams@gmail.com,user,bbb02eb8-9894-442f-b964-7dae2fa749f5
8f11e1a1-e7df-4a3f-a1ee-a492dff739ae,Angie Henderson,wyattmichelle@yahoo.com,user,c09582a3-e5d9-4589-b262-0ac5f240352a
3eff9fa9-1d40-4122-b45d-90b9e7e31d46,Daniel Wagner,xreid@gmail.com,user,1ed7e7fb-665c-4815-87fa-9d7df3e962a4
ff674eab-7246-4d3f-8fa8-57edac63a8b4,Cristian Santos,jason41@hotmail.com,user,26954c6d-10da-4041-9fcb-a88310a27f21
0679a690-c829-4661-a951-03d9cd1f2767,Connie Lawrence,frankgray@watts.com,admin,a6bdf0fa-cafc-4ed6-85a1-dd85bf0d9284
bcda609f-7cad-4853-a025-b48c285fb31c,Abigail Shaffer,trujillorichard@clark.com,user,498b0c4b-9346-4b66-bd81-149ebf086fa6
512e6d9a-17dc-4444-8b51-9071dad43d86,Gina Moore,pfoster@thomas-taylor.net,user,115d1995-6d11-4fb8-934f-95fe4c58d37e
7c744f42-6a63-4611-a1f7-b2d2fb937202,Gabrielle Davis,zhurst@yahoo.com,admin,bbb02eb8-9894-442f-b964-7dae2fa749f5
2c595dc7-3e83-4555-a7ae-03649950137d,Ryan Munoz,williamdavis@callahan.com,user,c09582a3-e5d9-4589-b262-0ac5f240352a
4f5c5ba6-b85a-44b5-b134-5d208a46be36,Monica Herrera,cruzcaitlin@yahoo.com,admin,1ed7e7fb-665c-4815-87fa-9d7df3e962a4
